month,member_casual,rideable_type,day_type,day_of_week,time_of_day,length_distro_min,ride_count,sum_ride_length_sec
November 2023,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,21 - 30,362,559559
November 2023,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,21 - 30,28,42031
November 2023,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,21 - 30,61,91460
November 2023,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,31 - 40,7,15561
November 2023,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,51 - 60,0,0
December 2023,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,31 - 40,44,92045
December 2023,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,31 - 40,4,8636
December 2023,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,21 - 30,44,66691
December 2023,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,21 - 30,14,20015
December 2023,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,51 - 60,9,30141
September 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,11 - 20,703,642331
September 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,60+,35,184462
September 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,31 - 40,359,769414
October 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,21 - 30,314,474104
October 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,31 - 40,63,132760
August 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,60+,18,99176
August 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,41 - 50,67,183027
August 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,21 - 30,284,431556
June 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,11 - 20,253,223741
June 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,51 - 60,61,204386
May 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,60+,99,1215045
May 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,31 - 40,101,215694
July 2024,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,41 - 50,40,107586
July 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,0 - 10,613,246222
February 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,11 - 20,40,35530
April 2024,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,31 - 40,79,165976
April 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,51 - 60,179,600312
November 2023,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,11 - 20,89,80750
November 2023,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,21 - 30,38,58164
November 2023,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,41 - 50,6,15667
September 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,21 - 30,144,216323
October 2024,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,21 - 30,148,228241
October 2024,casual,classic_bike,weekend,1,6:00 AM - 8:59 AM,60+,246,2467018
October 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,51 - 60,7,22915
